Date,Speaker,crime_gt_score,economy_gt_score,elites_gt_score,people_gt_score,service_gt_score,they_gt_score,violence_gt_score,war_gt_score,we_gt_score,they_we_ratio
2017-01-01,Trump,0.1640419947506562,1.34514435695538,0.0,0.09842519685039369,0.09842519685039369,1.130653266331658,0.426509186351706,0.03280839895013123,3.894472361809045,0.29032258064516125
2017-02-01,Trump,0.157418339236521,1.042896497441952,0.1967729240456513,0.03935458480913026,0.1770956316410862,1.754385964912281,0.905155450609996,0.2164502164502164,3.39678984695782,0.5164835164835166
2017-03-01,Trump,0.07183908045977011,1.340996168582375,0.09578544061302681,0.1436781609195402,0.2155172413793103,1.447943001608825,0.4310344827586207,0.0239463601532567,3.953114226614571,0.3662790697674418
2017-04-01,Trump,0.2769571639586411,1.218611521418021,0.2215657311669129,0.03692762186115214,0.09231905465288034,1.715296198054819,1.144756277695716,0.1477104874446086,4.031830238726791,0.4254385964912281
2017-05-01,Trump,,,,,,,,,,
2017-06-01,Trump,0.1570105197048202,0.8792589103469932,0.1099073637933742,0.06280420788192809,0.03140210394096404,1.76463278240338,0.5338357669963888,0.07850525985241011,2.98247794209022,0.5916666666666667
2017-07-01,Trump,0.2533394748963611,1.174573929064947,0.09212344541685859,0.1381851681252879,0.2303086135421465,1.756311745334797,0.8751727314601566,0.1381851681252879,5.027442371020856,0.3493449781659389
2017-08-01,Trump,0.1706219947262293,0.5894214363269739,0.3567550798821157,0.1085776330076004,0.1395998138669149,2.556262230919765,1.16333178222429,0.09306654257794324,4.060665362035225,0.6295180722891566
2017-09-01,Trump,0.01529987760097919,0.4895960832313341,0.1682986536107711,0.1376988984088127,0.03059975520195838,1.559718572518437,0.3365973072215422,0.04589963280293758,2.288717470543359,0.6814814814814814
2017-10-01,Trump,0.0,1.740391588107324,0.1087744742567078,0.145032632342277,0.0725163161711385,1.253481894150418,0.5076142131979695,0.03625815808556925,5.745125348189415,0.21818181818181823
2017-11-01,Trump,0.03818251240931653,2.157311951126384,0.07636502481863307,0.09545628102329133,0.01909125620465827,1.975489299432962,0.3436426116838488,0.09545628102329133,3.694896652643131,0.5346534653465349
